"","cement","slag","ash","water","superplastic","coarseagg","fineagg","age","strength"
"247",122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
"248",213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15
"249",200,0,0,180,0,1125,845,28,12.25
"250",108.3,162.4,0,203.5,0,938.2,849,90,29.23
"251",213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
"252",290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
"253",153,239,0,200,6,1002,684,28,26.86
"254",229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
"255",251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27
"256",322,0,0,203,0,974,800,14,20.77
"257",525,0,0,189,0,1125,613,270,67.11
"258",389.9,189,0,145.9,22,944.7,755.8,56,79.4
"259",252.3,0,98.8,146.3,14.2,987.8,889,14,42.29
"260",475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
"261",259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
"262",310,0,0,192,0,1012,830,7,17.24
"263",266,114,0,228,0,932,670,270,51.73
"264",236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
"265",366,187,0,191.3,6.6,824.3,756.9,28,65.91
"266",333,0,0,192,0,931.2,842.6,3,15.62
"267",326,166,0,174,9,882,790,28,61.23
"268",145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
"269",133,200,0,192,0,927.4,839.2,7,13.66
"270",251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
"271",500,0,0,200,0,1125,613,270,55.16
"272",154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
"273",349,0,0,192,0,1056,809,120,40.86
"274",389.9,189,0,145.9,22,944.7,755.8,28,74.5
"275",162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
"276",277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64
"277",166,260,0,183,13,859,827,28,37.91
"278",277,116.8,91,190.6,7,946.5,665.6,28,43.58
"279",425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
"280",439,177,0,186,11.1,884.9,707.9,28,66
"281",540,0,0,173,0,1125,613,3,41.64
"282",480,0,0,192,0,936.2,712.2,28,43.94
"283",382,0,0,186,0,1047,739,28,37.42
"284",475,0,0,228,0,932,594,90,42.23
"285",143,169,143,191,8,967,643,28,29.72
"286",203.5,305.3,0,203.5,0,963.4,630,90,51.86
"287",374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
"288",181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
"289",153,145,113,178,8,867,824,28,26.23
"290",450.1,50,0,200,3,1124.4,613.2,28,39.38
"291",238,0,0,186,0,1119,789,28,17.54
"292",380,0,0,228,0,932,670,90,52.91
"293",469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
"294",528,0,0,185,6.9,920,720,28,56.83
"295",238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91
"296",186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
"297",212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
"298",475,0,0,228,0,932,594,270,42.13
"299",425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
"300",198.6,132.4,0,192,0,978.4,825.5,3,9.13
"301",491,26,123,201,3.9,822,699,7,37.92
"302",277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
"303",342,38,0,228,0,932,670,180,52.12
"304",387,20,94,157,13.9,938,845,7,45.9
"305",152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
"306",281,0,0,185,0,1104,774,28,22.44
"307",198.6,132.4,0,192,0,978.4,825.5,90,38.07
"308",491,26,123,210,3.9,882,699,28,55.55
"309",290.4,0,96.2,168.1,9.4,961.2,865,14,34.67
"310",144,0,175,158,18,943,844,28,15.42
"311",246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
"312",252.5,0,0,185.7,0,1111.6,784.3,28,19.77
"313",236,0,0,193,0,968,885,180,24.1
"314",540,0,0,173,0,1125,613,270,74.17
"315",295,0,0,185,0,1069,769,7,14.8
"316",150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46
"317",218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
"318",233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
"319",249.1,0,98.8,158.1,12.8,987.8,889,100,51.06
"320",339,0,0,185,0,1069,754,28,31.84
"321",505,0,60,195,0,1030,630,28,64.02
"322",230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
"323",374,189.2,0,170.1,10.1,926.1,756.7,3,34.4
"324",139.6,209.4,0,192,0,1047,806.9,360,44.7
"325",148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96
"326",190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
"327",376,0,0,214.6,0,1003.5,762.4,14,25.62
"328",251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
"329",157,236,0,192,0,935.4,781.2,7,16.89
"330",304,76,0,228,0,932,670,28,47.81
"331",167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
"332",304,140,0,214,6,895,722,28,33.42
"333",182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
"334",252,0,0,185,0,1111,784,28,19.69
"335",323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
"336",350,0,0,203,0,974,775,90,31.35
"337",213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
"338",286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
"339",143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
"340",236,157,0,192,0,972.6,749.1,90,47.78
"341",213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
"342",181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37
"343",249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
"344",193.5,290.2,0,185.7,0,998.2,704.3,28,32.63
"345",194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
"346",289,134,0,195,6,924,760,28,46.24
"347",298,137,107,201,6,878,655,28,53.52
"348",192,288,0,192,0,929.8,716.1,90,50.73
"349",213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
"350",190,190,0,228,0,932,670,28,40.86
"351",173,116,0,192,0,946.8,856.8,90,32.1
"352",213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
"353",173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
"354",284,120,0,168,7,970,794,28,40.93
"355",135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51
"356",246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
"357",136,162,126,172,10,923,764,28,29.07
"358",139.6,209.4,0,192,0,1047,806.9,3,8.06
"359",250,0,95.7,187.4,5.5,956.9,861.2,14,24.92
"360",475,0,0,228,0,932,594,180,42.62
"361",149,139,109,193,6,892,780,28,23.69
"362",277,0,0,191,0,968,856,360,33.7
"363",225,0,0,181,0,1113,833,7,11.17
"364",289,133.7,0,194.9,5.5,924.1,760.1,28,46.25
"365",480,0,0,192,0,936.2,712.2,90,54.32
"366",153,102,0,192,0,888,943.1,90,26.32
"367",231.8,0,121.6,174,6.7,1056.4,778.5,56,42.7
"368",225,0,0,181,0,1113,833,28,17.34
"369",190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
"370",172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
"371",266,114,0,228,0,932,670,180,48.7
"372",212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
"373",172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
"374",388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
"375",277,0,0,191,0,968,856,28,25.97
"376",141.3,212,0,203.5,0,971.8,748.5,3,4.83
"377",339,0,0,197,0,968,781,90,35.17
"378",289,0,0,192,0,913.2,895.3,90,32.07
"379",154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
"380",480,0,0,192,0,936,721,28,43.89
"381",198.6,132.4,0,192,0,978.4,825.5,28,28.02
"382",194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
"383",349,0,0,192,0,1056,809,7,9.01
"384",366,187,0,191,7,824,757,28,65.91
"385",236,0,0,194,0,968,885,90,21.95
"386",305.3,203.5,0,203.5,0,965.4,631,28,43.38
"387",213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
"388",218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
"389",238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69
"390",159,187,0,176,11,990,789,28,32.76
"391",102,153,0,192,0,887,942,90,25.46
"392",170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73
"393",425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
"394",342,38,0,228,0,932,670,365,56.14
"395",173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
"396",330.5,169.6,0,194.9,8.1,811,802.3,28,56.62
"397",318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
"398",304.8,0,99.6,196,9.8,959.4,705.2,28,30.12
"399",266,112,87,178,10,910,745,28,39.42
"400",165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
"401",362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
"402",139.6,209.4,0,192,0,1047,806.9,90,39.36
"403",150,237,0,174,12,1069,675,28,37.43
"404",310,142.8,0,167.9,10,914.3,804,28,45.3
"405",148,0,182,181,15,839,884,28,15.52
"406",203.5,305.3,0,203.5,0,963.4,630,28,41.68
"407",212,0,124.8,159,7.8,1085.4,799.5,14,31.35
"408",102,153,0,192,0,887,942,3,4.57
"409",305.3,203.5,0,203.5,0,965.4,631,90,54.6
"410",183.9,122.6,0,203.5,0,959.2,800,28,24.05
"411",296,0,107,221,11,819,778,28,31.42
"412",275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
"413",424,22,132,178,8.5,822,750,56,65.7
"414",166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
"415",297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
"416",321.3,164.2,0,190.5,4.6,870,774,28,57.22
"417",333,0,0,192,0,931.2,842.6,90,41.68
"418",102,153,0,192,0,887,942,28,17.28
"419",388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
"420",480,0,0,192,0,936,721,90,54.28
"421",362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
"422",134.7,0,165.7,180.2,10,961,804.9,28,13.29
"423",250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
"424",284,15,141,179,5.5,842,801,56,44.52
"425",393,0,0,192,0,940.6,785.6,7,27.74
"426",475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
"427",212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
"428",251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
"429",275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33
"430",166.8,250.2,0,203.5,0,975.6,692.6,3,6.9
"431",173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
"432",374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
"433",168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
"434",425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
"435",331,0,0,192,0,1025,821,120,39.38
"436",525,0,0,189,0,1125,613,14,48.4
"437",446,24,79,162,10.3,967,712,28,53.39
"438",300,0,120,212,10,878,728,28,23.84
"439",213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
"440",255,0,0,192,0,889.8,945,3,8.2
"441",275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
"442",382.5,0,0,185.7,0,1047.8,739.3,28,37.44
"443",359,19,141,154,10.9,942,801,7,35.75
"444",190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
"445",290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
"446",380,95,0,228,0,932,594,90,40.56
"447",165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
"448",375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
"449",331,0,0,192,0,978,825,360,41.24
"450",277,117,91,191,7,946,666,28,43.57
"451",321,0,128,182,11,870,780,28,37.26
"452",313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
"453",522,0,0,146,0,896,896,28,74.99
"454",446,24,79,162,11.6,967,712,56,56.14
"455",339.2,0,0,185.7,0,1069.2,754.3,7,21.18
"456",286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
"457",288,192,0,192,0,932,717.8,90,50.53
"458",212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
"459",400,0,0,187,0,1025,745,28,43.7
"460",155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
"461",349,0,0,192,0,1047,806,28,32.72
"462",334,17.6,158,189,15.3,967,633,28,44.33
"463",168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
"464",362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
"465",255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05
"466",427.5,47.5,0,228,0,932,594,365,43.7
"467",439,177,0,186,11.1,884.9,707.9,3,39.3
"468",261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72
"469",252,0,0,185,0,1111,784,28,19.69
"470",485,0,0,146,0,1120,800,28,71.99
"471",194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
"472",148,175,0,171,2,1000,828,28,26.92
